nombre,tipo,hp,attack,defense,speed,origin,evolution_stage,experience,fitness
Child_094355,Fire,1.0,1.0,1.0,1.0,Kanto_079,0,0.0,1.08
Child_022976-II,Fire,1.0,1.0,1.0,1.0,Kanto_040,1,0.3598,1.08
Child_002143,Fire,1.0,1.0,1.0,0.9979836182663092,Kanto_063,0,0.0,1.0793466923182842
Child_056144,Fire,0.9916484091338272,1.0,1.0,1.0,Kanto_015,0,0.0,1.0781960563729067
ROUGE-II,Fire,1.0,1.0,0.9586041046736102,1.0,ROUGE,1,0.3598,1.0732938649571249
Child_079283,Fire,1.0,1.0,1.0,0.9435617792564108,Kanto_063,0,0.0,1.061714016479077
Child_020981,Fire,0.9257975632791331,1.0,1.0,0.9831662696938017,Kanto_040,0,0.0,1.0585181450490846
Child_018491,Fire,1.0,0.9554982641786163,1.0,0.9848031268992781,Kanto_040,0,0.0,1.0582545569748831
Child_044398,Fire,0.8978068700501685,1.0,1.0,1.0,Kanto_079,0,0.0,1.0579262839308365
Child_019749,Fire,1.0,1.0,0.8633812936739107,1.0,Kanto_015,0,0.0,1.0578677695751735
Child_089067,Fire,0.876742430208874,1.0,1.0,1.0,Kanto_079,0,0.0,1.0533763649251169
Child_044601,Electric,1.0,1.0,1.0,1.0,Kanto_015,0,0.0,1.05
Child_086678,Electric,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.05
Child_003164,Electric,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.05
Child_070322,Electric,1.0,1.0,1.0,1.0,Kanto_015,0,0.0,1.05
Child_087385,Electric,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.05
Child_054054,Electric,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.05
Child_034318-II,Electric,1.0,1.0,1.0,1.0,Kanto_015,1,0.35800000000000004,1.05
Child_056995,Fire,0.8928592963866491,1.0,1.0,0.9694890636494661,Kanto_040,0,0.0,1.0469720646419431
Child_047183-II,Fire,1.0,0.908709995178649,1.0,1.0,Kanto_063,1,0.3598,1.0454923781775294
Child_022519,Fire,1.0,1.0,1.0,0.870540996270244,Kanto_040,0,0.0,1.038055282791559
Child_002397-II,Fire,1.0,0.9130241891219107,1.0,0.9702986785492625,Kanto_040,1,0.3598,1.0374999153380433
Child_026874,Fire,1.0,0.9218460505235951,1.0,0.9563638776967529,ROUGE,0,0.0,1.036319703471667
Child_001644,Electric,1.0,0.9400404138497731,1.0,0.989313517695508,Kanto_040,0,0.0,1.0245986101638764
Child_077046,Grass,1.0,1.0,1.0,1.0,Kanto_057,0,0.0,1.0
Child_048256,Grass,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.0
Child_097516,Fighting,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.0
Child_017312,Water,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.0
Child_024764,Grass,1.0,1.0,1.0,1.0,ROUGE,0,0.0,1.0
Child_070679-II,Water,1.0,1.0,1.0,1.0,Kanto_004,1,0.35500000000000004,1.0
Child_005903-II,Water,1.0,1.0,1.0,1.0,Kanto_057,1,0.35500000000000004,1.0
Child_007949,Grass,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.0
Child_096670,Water,1.0,1.0,1.0,1.0,Kanto_079,0,0.0,1.0
Child_031164,Grass,1.0,1.0,1.0,1.0,Kanto_079,0,0.0,1.0
Child_044781,Water,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.0
Child_072845,Water,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.0
Child_015364,Fighting,1.0,1.0,1.0,1.0,Kanto_003,0,0.0,1.0
Child_069693,Water,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.0
Child_059795-II,Water,1.0,1.0,1.0,1.0,Kanto_079,1,0.35500000000000004,1.0
Child_018798,Water,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.0
Child_044847,Fighting,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.0
Child_086736,Water,0.9966894050310997,1.0,1.0,1.0,Kanto_040,0,0.0,0.99933788100622
Child_058862,Water,1.0,0.9978517273520782,0.9841511260216315,1.0,Kanto_004,0,0.0,0.9968707734764721
Child_060512,Water,0.9738658639004389,1.0,1.0,1.0,Kanto_063,0,0.0,0.9947731727800878
Child_052257,Water,0.9723139291475422,1.0,1.0,1.0,Kanto_040,0,0.0,0.9944627858295085
Child_028877,Grass,0.9682541403974695,1.0,1.0,1.0,Kanto_040,0,0.0,0.993650828079494
Child_017123,Grass,1.0,1.0,0.9241411399859025,1.0,Kanto_057,0,0.0,0.9886211709978854
Child_014847,Fighting,0.9367544945887889,1.0,1.0,1.0,Kanto_040,0,0.0,0.9873508989177578
Child_063178,Grass,1.0,1.0,1.0,0.9551828938547223,Kanto_063,0,0.0,0.9865548681564167
Child_011681,Fighting,1.0,0.9458516742906897,1.0,1.0,Kanto_063,0,0.0,0.9810480860017414
Child_031904,Water,0.9037768323579258,1.0,1.0,1.0,Kanto_079,0,0.0,0.9807553664715852
Child_015099,Water,1.0,1.0,1.0,0.9095692556079514,Kanto_063,0,0.0,0.9728707766823854
Child_060297,Fighting,0.9746525276128275,0.9846486287931944,0.8769520259950858,1.0,Kanto_040,0,0.0,0.9711003294994464
